state,county,tract,med_house_val,med_room,med_yrBuilt,r_se_nat,r_ed_nat,lfpr,r_he_nat,jobs_idx,schl_idx,ur,pct_ba,pct_hs,pop,white,black,CBSA,area
39,35,101101,68000,4.1,1939,2,2,0.571428571,3,58.32922042,9,0.108163265,0.144244105,0.55963939,2243,737,657,17460,305989
39,35,101102,191800,4.6,1939,35,8,0.753004949,26,48.5742715,10.50059228,0.041627543,0.502252849,0.442618606,4800,3502,296,17460,1324748
39,35,101200,169200,3.5,1952,6,8,0.535945073,5,75.04059329,3,0.07611153,0.275767293,0.53962437,2867,1757,593,17460,1298153
39,35,101300,78300,4.4,1939,20,5,0.623062616,29,38,11,0.064676617,0.167355372,0.701790634,1830,995,670,17460,626777
39,35,101400,60600,5.2,1939,7,2,0.630246502,20,36.51571754,7.46332574,0.183846971,0.084802687,0.675062972,2071,1091,724,17460,1279080
39,35,101501,56400,5.2,1939,7,3,0.57367829,17,45,9,0.109803922,0.120207927,0.598440546,2169,1255,524,17460,507349
39,35,101603,60700,5.9,1939,2,2,0.700052715,3,50.14123837,7.019830028,0.243222892,0.095657646,0.718691001,2672,1534,623,17460,618190
39,35,101700,53200,5,1939,8,1,0.645556691,3,56.80159884,3.663517442,0.173259494,0.041296061,0.724269377,2622,1009,1263,17460,726454
39,35,101800,77700,5.1,1939,1,3,0.565052232,1,61.91876275,3.70564242,0.160504202,0.139953542,0.531939605,2713,1551,854,17460,746636
39,35,101901,90600,5.6,1939,18,5,0.613924051,4,71.54137116,3.328014184,0.024484536,0.126134301,0.558076225,1574,1039,227,17460,506548
39,35,102101,69900,5.5,1939,4,2,0.643241167,12,49.56186548,4,0.162985075,0.067451335,0.698958805,3227,1963,828,17460,683351
39,35,102102,59200,5.1,1945,14,7,0.575729927,10,63.25796178,4,0.122820919,0.120206068,0.66571265,2565,1641,574,17460,823034
39,35,102200,81300,5.5,1939,16,5,0.597616112,8,56.76036364,4,0.070839065,0.189079879,0.619312437,3093,1500,619,17460,889239
39,35,102300,60700,5.9,1939,6,2,0.647097195,5,53.56154183,2.838370565,0.07358871,0.093043478,0.712173913,2184,1274,501,17460,454668
39,35,102401,51500,5.7,1939,5,2,0.556890013,29,53,1,0.116912599,0.067314884,0.599850411,2093,1404,344,17460,518099
39,35,102402,70900,5.8,1939,4,2,0.583333333,6,54.44369231,2.074461538,0.18507808,0.107157807,0.587693596,3908,1581,1123,17460,666530
39,35,102700,45200,5.6,1939,4,2,0.504901961,1,64.59916539,38,0.064724919,0.077849117,0.666934189,3995,2688,835,17460,1990073
39,35,102800,55300,5.6,1939,2,1,0.543209877,1,72.67285156,49,0.151069519,0.028275212,0.52403393,1894,988,454,17460,451379
39,35,102900,62300,5.5,1939,4,1,0.652202937,11,79.82100969,5,0.16171955,0.076736672,0.675282714,1924,1357,289,17460,514701
39,35,103100,166200,5.5,1939,29,5,0.633909287,16,90,11,0.015332198,0.51558753,0.435251799,1294,851,213,17460,669059
39,35,103300,193900,3.5,1979,2,8,0.794170137,65,99,16,0.196254682,0.353881279,0.49391172,2481,635,1589,17460,499678
39,35,103400,136900,5.6,1939,5,8,0.649382716,14,83.15306859,7.246570397,0.10418251,0.302844395,0.54099275,2369,1721,548,17460,661423
39,35,103500,146200,5.5,1939,50,8,0.759393064,3,88.21655729,28.16052499,0.050428164,0.521772939,0.3437014,1545,1210,197,17460,827823
39,35,103602,278700,3.5,1943,45,16,0.674666667,36,95.7728949,14.65365704,0.072134387,0.526388889,0.339930556,3303,2420,580,17460,2308486
39,35,103800,50800,5.4,1939,9,1,0.473167045,4,87.35072755,5.231309584,0.041533546,0.198975235,0.464560205,1503,1147,160,17460,876140
39,35,103900,72500,5.8,1939,6,3,0.544403893,14,92.51322233,3.008814887,0.110614525,0.144010767,0.554508748,2287,1395,328,17460,993343
39,35,104100,99300,4.4,1939,10,3,0.662068966,9,94.57899543,10.71050228,0.135416667,0.362355954,0.463508323,968,641,111,17460,684848
39,35,104200,292000,4.2,1950,35,15,0.802469136,26,98.48206474,12,0.006593407,0.508256881,0.393577982,1351,756,438,17460,1489450
39,35,104300,307000,4.4,1939,72,23,0.859366892,34,97.44728634,13,0.061594203,0.662092624,0.304173814,2114,1725,222,17460,478370
39,35,104400,161300,5.8,1939,25,11,0.689409369,5,94.55807744,9.209612817,0.032496307,0.414046122,0.395178197,1187,950,180,17460,1128440
39,35,104600,61500,5.2,1939,1,1,0.552702703,15,84.62184874,9,0.251833741,0.061349693,0.713190184,1024,504,266,17460,381316
39,35,104800,70200,5.5,1939,8,1,0.593357934,8,87.86770245,9.978813559,0.166028097,0.261580381,0.493188011,1701,1235,242,17460,3254982
39,35,104900,63800,5.9,1939,3,1,0.582028986,4,75.35940634,4.73084637,0.166334661,0.071001991,0.598540146,2328,1295,400,17460,626605
39,35,105100,39800,5.2,1939,8,2,0.550237718,12,54.0646438,29.31609499,0.212557604,0.104104478,0.595149254,4483,3112,344,17460,2384879
39,35,105300,56600,5.8,1939,3,2,0.500957488,2,61.59493302,17.04076878,0.075688073,0.081982399,0.532654006,3268,1986,270,17460,645693
39,35,105400,60000,5.9,1939,8,1,0.606995885,5,53.54388371,5.309105869,0.103050847,0.118259224,0.687795648,3286,2168,658,17460,1054780
39,35,105500,55800,5.3,1939,7,1,0.69292697,2,63.87055016,4.935275081,0.159432387,0.061438965,0.663702506,2264,1506,342,17460,428561
39,35,105602,54100,5.2,1939,2,1,0.55026455,14,70.64493759,13.39389736,0.143356643,0.06031746,0.593015873,2565,1326,773,17460,1747816
